,alpha_beta_cvar_weights_daily,risk_parity_weights_daily,ridge_regression,Equal_Weighted
2025-03-18,1.07791232279727,1.0936502786843445,,1.0281874989797701
2025-03-19,1.077897304453449,1.0943598334650066,1.0377250984078203,1.0285409943411132
2025-03-20,1.0779553721561979,1.095757095829541,,1.0285409943411132
2025-03-21,1.0793413181622806,1.097588211073745,,1.0285409943411132
2025-03-28,1.0782512736692942,1.096672174261218,1.0365258276498646,1.0278821249080083
2025-04-03,1.0784841827576457,1.0967080587047666,,1.0278821249080083
2025-04-11,1.0788921379247383,1.0974600567548025,,1.0278821249080083
2025-04-18,1.078288339753132,1.0968368294871522,1.0376635502513873,1.0274615139465908
2025-04-25,1.0797081091905611,1.0982416858137962,,1.0274615139465908
2025-04-30,1.079900948977712,1.0982978247599287,,1.0274615139465908
2025-05-09,1.085500209164047,1.1011250831298178,1.0389514350791544,1.0309786533675387
2025-05-16,1.0870552780089406,1.1021412385745861,,1.0309786533675387
2025-05-23,1.0868840109106173,1.1019458059729363,,1.0309786533675387
2025-05-30,1.0881086135520883,1.102522809271138,,1.0309786533675387
